Series	Contract No.	Buy/Sell	No. of Contract	Deal Price	Premium Amount	Brokerage Fee	VAT	WH	Charge Amount
S50H19	BU-00536	B	1	1,134.80	0.00	17.10	1.20	0.00	18.30
S50H19	BU-00537	B	1	1,134.00	0.00	17.10	1.20	0.00	18.30
S50H19	BU-00538	B	1	1,134.00	0.00	17.10	1.19	0.00	18.29
S50H19P1100	SH-00539	S	10	25.30	50,600.00	351.00	24.57	0.00	375.57
S50H19	SE-00303	S	3	1,089.50	0.00	51.30	3.59	0.00	54.89
S50H19	SH-00304	S	3	1,090.50	0.00	51.30	3.59	0.00	54.89
S50H19	SH-00305	S	3	1,090.50	0.00	51.30	3.59	0.00	54.89
S50H19	SH-00306	S	2	1,090.50	0.00	34.20	2.39	0.00	36.59
S50H19	SH-00307	S	2	1,090.50	0.00	34.20	2.39	0.00	36.59
S50H19	BH-00308	B	1	1,091.90	0.00	17.10	1.20	0.00	18.30
S50H19	BH-00309	B	4	1,091.90	0.00	68.40	4.79	0.00	73.19
S50H19P1100	BH-00310	B	1	45.00	-9,000.00	35.10	2.46	0.00	37.56   22102018
S50H19C1075	SH-00842	S	10	46.00	92,000.00	351.00	24.57	0.00	375.57  25102018
S50H19	BH-00346	B	1	1,078.40	0.00	17.10	1.20	0.00	18.30
S50H19	BH-00347	B	2	1,078.40	0.00	34.20	2.39	0.00	36.59
S50H19	BH-00348	B	2	1,078.40	0.00	34.20	2.39	0.00	36.59   30102018
S50H19P1075	BU-00374	B	1	32.70	-6,540.00	35.10	2.46	0.00	37.56
S50H19P1075	BU-00375	B	1	32.70	-6,540.00	35.10	2.46	0.00	37.56   12112018
S50H19P1075	SH-00495	S	1	44.00	8,800.00	35.10	2.46	0.00	37.56
S50H19P1075	SH-00496	S	1	44.00	8,800.00	35.10	2.46	0.00	37.56
S50H19P1075	SH-00497	S	1	44.00	8,800.00	35.10	2.46	0.00	37.56
S50H19P1075	SH-00498	S	2	44.00	17,600.00	70.20	4.91	0.00	75.11   22112018
S50H19	SH-00779	S	1	1,105.00	0.00	17.10	1.20	0.00	18.30
S50H19	SH-00780	S	4	1,105.00	0.00	68.40	4.79	0.00	73.19
S50H19	BH-00781	B	5	1,108.50	0.00	85.50	5.99	0.00	91.49   03122018
S50Z18	BH-00339	B	2	1,118.50	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00340	B	2	1,118.50	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00341	B	1	1,118.50	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00342	S	5	1,120.10	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00343	B	4	1,120.10	0.00	68.40	4.79	0.00	73.19
S50Z18	BH-00344	B	1	1,120.10	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00345	S	5	1,120.60	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00346	B	2	1,119.20	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00347	B	1	1,119.20	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00348	B	1	1,119.20	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00349	B	1	1,119.20	0.00	17.10	1.19	0.00	18.29   04122018
